project_id,article_id,url,pdf_url,is_fulltext,is_duplicate,is_include_ab,is_include_ft,tags,cite_id
138103,5136179,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136179/5136179_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136179/5136179_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,SARS-CoV-2 or COVID-19,2055_1
138103,5136180,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136180/5136180_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136180/5136180_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,SARS-CoV-2 or COVID-19;Adult;Systematic review;Cardiopulmonary manifestations,2055_2
138103,5136181,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136181/5136181_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136181/5136181_5376d606-3858-43ff-9bc0-e8f7b128ed3d.pdf,1,0,1,1,Systematic review;Meta-analysis;All health outcomes,2055_3
138103,5136182,,,,0,0,,All health outcomes;SARS-CoV-2 or COVID-19,2055_4
138103,5136183,,,,0,0,,SARS-CoV-2 or COVID-19;Meta-analysis;Systematic review;Risk factors,2055_5
138103,5136184,,,,0,0,,All health outcomes;SARS-CoV-2 or COVID-19,2055_6
138103,5136185,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136185/5136185_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136185/5136185_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Meta-analysis;Systematic review;Observational;All health outcomes;Biomarkers,2055_7
138103,5136186,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136186/5136186_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136186/5136186_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Diabetes;Systematic review;SARS-CoV-2 or COVID-19,2055_8
138103,5136187,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136187/5136187_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136187/5136187_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,1,Systematic review;Biomarkers,2055_9
138103,5136188,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136188/5136188_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136188/5136188_455964a9-b9c8-424c-8f98-df0e2798e291.pdf,1,0,1,0,Biomarkers;SARS-CoV-2 or COVID-19;Psychological manifestations,2055_10
138103,5136189,https://picoportal3prodstorage.blob.core.windows.net/fulltext-embeddings/138103/5136189/5136189_20231227.json,https://picoportal3prodstorage.blob.core.windows.net/fulltext-articles/138103/5136189/5136189_8f63f784-a50f-4b72-b70a-6631a5b085c7.pdf,1,0,1,0,Meta-analysis,2055_11
